"Name","Category","Accounting Code","Item Count","On Inventory","Tax Exempt","Report By Unit","Latest Price"
"(Quick Ship) Fryer, Electric, Floor Model, 40","Kitchen Supplies","","1","No","No","Each","$2,838.33"
"*1 PKG* KN95MASK Respirator","Paper and Disposables","","1","No","No","10 Each","$10.50"
".008""/20mm Nozzle Nickel Brass Cleanable Anti-drip Body, SS Tip","Repairs & Maintenance","","1","No","No","Each","$7.00"
"1/4"" Slip Lock x1/4"" Male Adapter","Repairs & Maintenance","","1","No","No","Each","$5.56"
"10"" Sediment Filter 10 Micron 2.5""","Repairs & Maintenance","","1","No","No","Each","$9.00"
"10"" Sediment Filter 20 Micron 2.5""","Repairs & Maintenance","","1","No","No","Each","$9.00"
"10"" Sediment Filter 5 Micron 2.5""","Repairs & Maintenance","","1","No","No","Each","$9.00"
"10M Hdmi Cable","R & M","","1","No","No","Each","$129.95"
"12 Oz Prt Pet  Cup 5 Color","Paper and Disposables","","1","No","No","1000 Each","$106.25"
"12 Oz Prt Pet Cup 5 Color","Paper and Disposables","","1","No","No","1000 Each","$71.50"
"12x12 Light weight Deli Paper","Paper and Disposables","","1","No","No","5000 Each","$343.75"
"12X12 Light Weight Deli Paper - PAPASURFNP347","Paper and Disposables","","1","No","No","5000 Each","$343.75"
"15mm/.006"" Nickel Brass Anti-Drip Body SS Disc 10/24 Thread, Cleanable","Repairs & Maintenance","","1","No","No","Each","$7.00"
"1636 22 Wipe And Dry Floor","Cleaning Supplies","","1","No","No","Each","$8.25"
"18"" Stainless Steel OUTDOOR RATED Fan Variable Speed capable motor. C-Style Bracket, 9' cord- Mist Works","Repairs & Maintenance","","1","No","No","Other","$580.00"
"1M Hdmi Cable","R & M","","1","No","No","Each","$19.95"
"20 Oz Prt Pet Cup 5 Color","Paper and Disposables","","1","No","No","1000 Each","$137.75"
"20"" Microfbr Mop Gry","Linens & Uniform Cost","","1","No","No","Each","$3.93"
"3/4* x 1 1/2* x 37* primed poplar for bracing under stair treads","Repairs & Maintenance","","1","No","No","Each","$15.00"
"30A Cabernet Sauvignon","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$13.00"
"30A Chardonnay","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$12.00"
"30A Pinot Noir","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$15.00"
"30A Provence Rose","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$9.00"
"30A Sauvignon Blanc","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$13.00"
"3540-60 Slim Jim W/Venting","Cleaning Supplies","","1","No","No","Each","$48.75"
"3897 F/K/T S&P 13x17 Napkin MW Blk P/P Cutlery Kit","Paper and Disposables","","1","No","No","250 Each","$20.00"
"3X10 Xtrac Mat Onyx","Linens & Uniform Cost","","1","No","No","Each","$10.80"
"3X5 Duralite Mat","Linens & Uniform Cost","","1","No","No","Each","$4.55"
"3X5 Wellness Af Onyx","Linens & Uniform Cost","","1","No","No","Each","$4.22"
"4"" Sandwich Rolls","Bread","","0","Yes","No","Case (Case)","$21.08"
"4Nk Natural Kft Silverware","Paper and Disposables","","1","No","No","2000 Each","$29.75"
"4X6 Active Scraper","Linens & Uniform Cost","","1","No","No","Case","$5.24"
"4x6 Active Scraper EA","Linens & Uniform Cost","","1","No","No","Each","$4.00"
"4X6 Logo Mat","Linens & Uniform Cost","","1","No","No","Each","$10.72"
"4x6 Logo Mat - X34401","Linens & Uniform Cost","","1","No","No","Each","$10.72"
"4X6 Logo Mat - X84401.","Linens & Uniform Cost","","1","No","No","Each","$10.72"
"4X6 Logo Mat - X84401_4X6 Logo Mat 216 Top Donut 4x6A","Linens & Uniform Cost","","1","No","No","Case","$10.72"
"4x6 logo mat 19-4 Papa surf","Linens & Uniform Cost","","1","No","No","Each","$10.72"
"4x6 Logo Mat 19-4 Papa Surf 129306185","Linens & Uniform Cost","","1","No","No","Each","$10.72"
"4x6 Logo Mat 19-4 Papa Surf 129306185 - X84401_Papa Surf","Linens & Uniform Cost","","1","No","No","Each","$8.57"
"4X6 Xtrac Mat Onyx","Linens & Uniform Cost","","1","No","No","Each","$7.62"
"50% Deposit for Wood Flooring Labor as Bid- Seashore Floor Co.,Inc","Repairs & Maintenance","","1","No","No","Other","$188.70"
"511170 Phade Unwrapped","Paper and Disposables","","1","No","No","6000 Each","$53.25"
"55 Gal Trash Bags","Cleaning Supplies","","1","No","No","55 Gallons","$10.88"
"60 In Wood Handle W/ Metal","Cleaning Supplies","","1","No","No","Each","$6.50"
"7.75 In Phade Straw Jumbo Wrapped Packed","Paper and Disposables","","1","No","No","3750 Each","$86.50"
"7225-40 Wht 2.25X40 Thermal","Paper and Disposables","","1","No","No","50 Each","$29.50"
"8.5X11 Copy Paper","Office Supplies","","1","No","No","10 Each","$40.00"
"9.5x13 Light Weight Deli Paper","Paper and Disposables","","1","No","No","5000 Each","$309.25"
"Additional Tablet Monthly Software Subscription - Toast Inc","Dues & Subscriptions","","1","No","No","Other","$100.00"
"Admin Charge","Repairs & Maintenance","","1","No","No","Other","$27.50"
"After Hours Service Call - Evaluate and repair no power","Repairs & Maintenance","","1","No","No","Other","$200.00"
"Agave Nectar","N/A Beverage Cost","","1","Yes","No","Bottle","$6.00"
"Alcoholic Beverage License Application","Licenses & Fees","","1","No","No","Other","$575.00"
"Angostura Bitters 4oz","Liquor Cost","","1","Yes","No","Bottle (4 Ounces)","$8.80"
"Aperol Aperitivo","Liquor Cost","","1","Yes","No","Bottle (Liter)","$26.35"
"API Monthly Subscription - Toast Inc.","Dues & Subscriptions","","1","No","No","Other","$25.00"
"arknis 24 Port W/Poe Switch","R & M","","1","No","No","Each","$1,078.95"
"Arknis 520-Dual - Wan Gigabit Router","R & M","","1","No","No","Each","$859.95"
"Arugula, Baby","Produce","","6","Yes","No","Pound","$8.67"
"Assorted Pizzas","Meals & Entertainment","","1","No","No","Each","$20.00"
"Assorted Sushi Display","Meals & Entertainment","","1","No","No","Each","$25.00"
"Athletic Upside Dawn Golden 12oz Can","Beer Cost","","1","Yes","No","Can","$1.32"
"Avarus Chardonnay","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$11.00"
"Avocados, Fresh","Produce","","3","Yes","No","Each","$1.92"
"Bacon","Meat","","13","Yes","No","Pound","$6.34"
"Bag Paper W/Handle","Paper and Disposables","","1","No","No","250 Each","$43.94"
