Name,Category,Accounting Code,Item Count,On Inventory,Tax Exempt,Report By Unit,Latest Price
Athletic Upside Dawn Golden 12oz Can,Beer Cost,,1,Yes,No,Can,$1.32 
Coors Light 12oz Can,Beer Cost,,2,Yes,No,Can,$1.33 
Corona 12oz Can,Beer Cost,,1,Yes,No,Can (12 Fluid Ounces),$1.63 
D9 High Rise Blood Orange 12oz Can,Beer Cost,,1,No,No,Can (12 Fluid Ounces),$3.06 
Fairhope I Drink Therefore I Amber Keg (1/6BBL),Beer Cost,,1,Yes,No,Keg (1/6BBL) 5.16GAL,$83.00 
Goose Island IPA Keg (1/6BBL),Beer Cost,,1,Yes,No,Keg (1/6BBL) 5.16GAL,$66.13 
Grayton 30A Beach Blonde Ale Keg (1/6BBL),Beer Cost,,1,No,No,Keg (1/6BBL) 5.16GAL,$89.00 
Grayton 30A Beach Blonde Keg (1/2BBL),Beer Cost,,1,Yes,No,Keg (1/2BBL) 15.5GAL,$200.00 
Grayton Beach 30A Rose 12oz Can,Beer Cost,,1,Yes,No,Can (12 Cans),$1.41 
Grayton Beach Blonde 12oz Can,Beer Cost,,1,Yes,No,Can (12 Fluid Ounces),$1.54 
Grayton Ipa 12oz Can,Beer Cost,,1,Yes,No,Can (12 Fluid Ounces),$1.54 
High Rise Blood Orange,Beer Cost,,0,Yes,No,Can (12 Fluid Ounces),$3.06 
High Rise D9 Pineapple THC Seltzer 12oz Can,Beer Cost,,1,No,No,Can (12 Fluid Ounces),$3.06 
High Rise Pineapple,Beer Cost,,0,Yes,No,Can (12 Fluid Ounces),$3.06 
Hooter Brown,Beer Cost,,0,No,No,Keg (Keg (1/4BBL) 7.75GAL),$129.00 
Idyll Hands Joe Coffee Keg (1/6BBL),Beer Cost,,1,Yes,No,Keg (1/6BBL) 5.16GAL,$91.00 
Idyll Hounds Batch 500 Keg (1/6BBL),Beer Cost,,1,Yes,No,Keg (1/6BBL) 5.16GAL,$102.00 
Idyll Hounds Oktoberfest Keg(1/6BBL),Beer Cost,,1,No,No,Keg (1/6BBL) 5.16GAL,$85.00 
IPA,Beer Cost,,0,No,No,Keg (1/4BBL) 7.75GAL,$129.00 
Keg Deposit - At Purchase $50,Beer Cost,,3,Yes,No,Each,$50.00 
Keg Deposit - At Return $50,Beer Cost,,2,No,No,Each,$50.00 
Kona Big Wave 12oz Can,Beer Cost,,1,Yes,No,Can (12 Fluid Ounces),$1.37 
Kona Big Wave Keg (1/6BBL),Beer Cost,,1,Yes,No,Keg (1/6BBL) 5.16GAL,$80.13 
Michelob Ultra 12oz Can,Beer Cost,,1,Yes,No,Can,$1.19 
Miller High Life 12oz Can,Beer Cost,,0,Yes,No,Can (12 Fluid Ounces),$1.02 
Miller Lite 12oz Can,Beer Cost,,2,Yes,No,Can (12 Fluid Ounces),$1.33 
Modelo Especial 12oz Can,Beer Cost,,1,No,No,Can,$1.59 
Mom Water Assorted 12oz Can,Beer Cost,,1,Yes,No,Can (12 Fluid Ounces),$2.25 
Oyster City Mangrove Pale Ale Keg (1/4BBL),Beer Cost,,1,No,No,Keg (1/4BBL) 7.75GAL,$129.00 
Pacifico 12oz Can,Beer Cost,,1,Yes,No,Can,$1.63 
Perfect Plain Yachtside Keg (1/6BBL),Beer Cost,,1,Yes,No,Keg (1/6BBL) 5.16GAL,$89.00 
Stella Artois Keg (1/6BBL),Beer Cost,,1,Yes,No,Keg (1/6BBL) 5.16GAL,$85.13 
Tates Helles,Beer Cost,,0,No,No,Keg (Keg (1/4BBL) 7.75GAL),$129.00 
Urban South Holy Roller Hazy IPA Keg (1/6BBL),Beer Cost,,1,Yes,No,Keg (1/6BBL) 5.16GAL,$89.00 
Urban South Mardi Gras Pils Keg (1/6BBL),Beer Cost,,1,Yes,No,Keg (1/6BBL) 5.16GAL,$89.00 
Urban South Paradise Park Keg (1/6BBL),Beer Cost,,1,Yes,No,Keg (1/6BBL) 5.16GAL,$59.00 
White Claw Black Cherry 12oz Can,Beer Cost,,1,No,No,Can,$1.59 
White Claw Lime 12oz Can,Beer Cost,,1,No,No,Can,$1.59 
White Claw Raspberry 12oz Can,Beer Cost,,1,No,No,Can,$1.59 
White Claw Ruby Grapefruit 12oz Can,Beer Cost,,1,No,No,Can,$1.59 
Yuengling Lager 12oz Can,Beer Cost,,2,Yes,No,Can (12 Fluid Ounces),$1.33 
