"Name","Category","Accounting Code","Item Count","On Inventory","Tax Exempt","Report By Unit","Latest Price"
"Agave Nectar","N/A Beverage Cost","","1","Yes","No","Bottle","$6.00"
"Bar Mix, Bloody Mary","N/A Beverage Cost","","1","Yes","No","Bottle","$5.63"
"Bar Mix, Lime Juice","N/A Beverage Cost","","1","Yes","No","Bottle","$5.75"
"Bar Mix, Margarita 64oz Bottle","N/A Beverage Cost","","6","No","No","margarita man (Bottle)","$6.89"
"Bar Mix, Margarita Man Blue Hawailan 64oz","N/A Beverage Cost","","1","No","No","Bottle","$11.58"
"Bar Mix, Margarita Strawberry 64oz","N/A Beverage Cost","","1","Yes","No","margarita man (Bottle)","$11.58"
"Bar Mix, Pina Colada","N/A Beverage Cost","","1","Yes","No","Liter","$4.25"
"Bax Mix, Margarita Mango Bananas 64oz","N/A Beverage Cost","","1","No","No","margarita man (Bottle)","$11.58"
"Carbon Dioxide Empties Only Coca Cola Only","N/A Beverage Cost","","1","Yes","No","20 Pounds","$75.00"
"Club Soda 10oz Bottle","N/A Beverage Cost","","2","No","No","Bottle","$1.14"
"Coffee, Ground 2oz","N/A Beverage Cost","","1","No","No","Each (2 Ounces)","$1.23"
"Coke 8oz Can","N/A Beverage Cost","","1","No","No","Can","$0.44"
"Coke BIB","N/A Beverage Cost","","4","No","No","Gallon","$23.92"
"Coke Zero BIB","N/A Beverage Cost","","3","No","No","Gallon","$25.63"
"Cream Of Coconut","N/A Beverage Cost","","3","Yes","No","Each","$3.15"
"Cyl Emty 20Lb Co2 #1","N/A Beverage Cost","","3","No","No","20 Pounds","$75.00"
"Diet Coke 8oz Can","N/A Beverage Cost","","2","No","No","Can","$0.46"
"Diet Coke BIB","N/A Beverage Cost","","5","No","No","Gallon","$24.41"
"Dr Pepper BIB","N/A Beverage Cost","","3","No","No","Gallon","$24.10"
"Gatorade Grape 20oz Bottle","N/A Beverage Cost","","1","No","No","Bottle","$1.61"
"Ginger Ale 8oz","N/A Beverage Cost","","1","No","No","Can (Can)","$0.42"
"Ginger Ale BIB","N/A Beverage Cost","","2","Yes","No","Gallon","$26.14"
"Ginger Beer 12oz Bottle","N/A Beverage Cost","","1","No","No","Bottle","$1.38"
"Ginger Beer 12oz Can","N/A Beverage Cost","","1","Yes","No","Can","$1.01"
"Grenadine","N/A Beverage Cost","","3","Yes","No","Bottle","$4.00"
"Hot Chocolate","N/A Beverage Cost","","0","Yes","No","Each","$1.90"
"Juice, Blood Orange","N/A Beverage Cost","","1","No","No","Bottle (32 Fluid Ounces)","$6.44"
"Juice, Blood Orange 16oz","N/A Beverage Cost","","1","Yes","No","Each","$3.71"
"Juice, Cranberry","N/A Beverage Cost","","5","Yes","No","Bottle (Gallon)","$9.00"
"Juice, Cucumber Lime 64oz","N/A Beverage Cost","","1","Yes","No","Each","$20.00"
"Juice, Grapefruit","N/A Beverage Cost","","3","Yes","No","Each","$3.50"
"Juice, Guava Lemonade 16oz","N/A Beverage Cost","","1","No","No","Bottle","$2.21"
"Juice, Olive","N/A Beverage Cost","","1","Yes","No","Bottle","$8.25"
"Juice, Orange","N/A Beverage Cost","","4","Yes","No","0.5 Gallons","$6.54"
"Juice, Orange 32oz","N/A Beverage Cost","","1","Yes","No","32 Fluid Ounces","$3.30"
"Juice, Orange 46oz","N/A Beverage Cost","","1","Yes","No","Bottle","$6.27"
"Juice, Orange 52oz","N/A Beverage Cost","","2","No","No","Each","$5.46"
"Juice, Orange 56OZ","N/A Beverage Cost","","1","Yes","No","Each","$7.66"
"Juice, Orange Pineapple","N/A Beverage Cost","","1","No","No","Each","$2.79"
"Juice, Pineapple","N/A Beverage Cost","","8","Yes","No","Each","$3.98"
"Juice, Pomegranate 64oz","N/A Beverage Cost","","1","Yes","No","Each","$20.00"
"Lemonade 20oz Bottle","N/A Beverage Cost","","1","No","No","Bottle","$1.68"
"Lemonade BIB","N/A Beverage Cost","","2","Yes","No","Gallon","$24.67"
"Powerade BIB","N/A Beverage Cost","","2","No","No","Gallon","$26.54"
"Powerade Mountain Blast BIB","N/A Beverage Cost","","1","No","No","Gallon","$25.76"
"Red Bull Assorted 8.4oz Can","N/A Beverage Cost","","6","No","No","Can","$2.07"
"Sprite BIB","N/A Beverage Cost","","5","No","No","Gallon","$23.95"
"Syrup, Jalapeno","N/A Beverage Cost","","1","Yes","No","Bottle","$4.90"
"Syrup, Pineapple","N/A Beverage Cost","","1","Yes","No","Liter","$6.70"
"Syrup, Simple","N/A Beverage Cost","","1","Yes","No","Liter","$4.25"
"Tea, Iced","N/A Beverage Cost","","1","No","No","Each","$1.13"
"Tea, Iced 20oz Bottle","N/A Beverage Cost","","1","No","No","Bottle","$1.67"
"Tea, Iced Sweet 20oz Bottle","N/A Beverage Cost","","1","No","No","Bottle","$1.22"
"Tea, Sweet","N/A Beverage Cost","","1","Yes","No","Bag","$5.94"
"Tea, Sweet BIB","N/A Beverage Cost","","1","Yes","No","Gallon","$15.83"
"Tea, Unsweet","N/A Beverage Cost","","1","Yes","No","Each","$1.33"
"Tonic BIB","N/A Beverage Cost","","1","Yes","No","Gallon","$25.76"
"Tonic Water 10oz","N/A Beverage Cost","","2","No","No","Each","$1.15"
"Twist Lemon Lime 8oz Can","N/A Beverage Cost","","1","No","No","Can","$0.37"
"Water, Bottled 16.9oz","N/A Beverage Cost","","1","No","No","Bottle","$0.31"
"Water, Distilled BiB","N/A Beverage Cost","","1","No","No","Gallon","$2.51"
