"Name","Category","Accounting Code","Item Count","On Inventory","Tax Exempt","Report By Unit","Latest Price"
"30A Cabernet Sauvignon","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$13.00"
"30A Chardonnay","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$12.00"
"30A Pinot Noir","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$15.00"
"30A Provence Rose","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$9.00"
"30A Sauvignon Blanc","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$13.00"
"Avarus Chardonnay","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$11.00"
"Canoe Ridge Merlot","Wine Cost","","1","Yes","No","750 Milliliters","$8.00"
"Carter's Lot Rose Of Pinot Noir 2020","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$10.00"
"Caymus Cabernet Sauvignon","Wine Cost","","0","No","No","Bottle (750 Milliliters)","$16.00"
"Caymus Suisun The Walking Fool Red Blend","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$16.00"
"Charles De Fere Jean-Louis Cuvee Blanc De Blancs Brut","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$6.75"
"Decoded Russian River Pinot Noir","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$10.00"
"Domaine St Michelle Brut","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$10.00"
"Elouan Pinot Noir 2021","Wine Cost","","1","No","No","Bottle (750 Milliliters)","$12.00"
"Eluoan","Wine Cost","","0","No","No","Bottle (Bottle)","$12.00"
"Ferrari Carano Chardonnay","Wine Cost","","1","No","No","Bottle","$12.50"
"Gearbox California Pinot Noir","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$8.00"
"Jacob's Creek Moscato 2022","Wine Cost","","0","No","No","Bottle (750 Milliliters)","$5.25"
"Justin Cabernet Sauvignon","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$19.00"
"Marques De Caceres NV Brut Cava","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$8.00"
"Matua Lighter Sauvignon Blanc","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$8.49"
"Oyster Bay Sauvignon Blanc","Wine Cost","","2","No","No","Bottle","$8.50"
"Pol Remy Sparkling Crown","Wine Cost","","1","No","No","Bottle","$5.75"
"Rodney Strong Cabernet Sauvignon 2020","Wine Cost","","2","No","No","Bottle","$12.00"
"Scarpetta Pinot Grigio","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$10.00"
"Sonoma Cutrer Chardonnay","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$14.50"
"Squealing Pig Sauvignon Blanc","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$11.00"
"Terlato Friuli Pinot Grigio","Wine Cost","","3","No","No","Bottle (750 Milliliters)","$12.00"
"The Beach By Whispering Angel Rose 2022","Wine Cost","","3","No","No","Bottle (750 Milliliters)","$10.75"
"The Shaker Red Blend","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$14.75"
"Vueve Cliquot","Wine Cost","","0","No","No","Bottle (Bottle)","$54.75"
"Windstorm Central Coast Chardonnay","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$9.75"
"Windstorm Red Hills Cabernet Sauvignon","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$9.75"
"Yellow Tail Rose","Wine Cost","","1","No","No","Bottle","$5.25"
