start	end	text
0	10280	Alright, so we are starting the count.
10280	16600	We will start with the Eridura Reposado.
16600	26720	Yeah, the one bottle of Eridura Reposado still have that.
26720	31200	The bottle of Eridura Añejo still have that.
31200	36680	The bottle of Eridura Silver still have that.
36680	44760	The bottle of Eridura Blanco Original, the one on the box still have that.
44760	54080	The Eridura Legend, the one on the big like openable door box still have that one.
54080	74360	Still have the Quimador Cristalino, 100% Agave Azul Cristalino.
74360	88040	We have six bottles of Canoe Ridge Merlot.
88040	92080	We have eight bottles of Scarpetta.
92080	97480	And then we also have a 12 pack of Scarpetta bottles right next to it.
97480	103820	And on top of that we have a six pack of Squealing Pig Sauvignon Blanc.
103820	107580	Six bottles of those.
107580	118980	Then we have a whole 12 case of 750ml bottles of Windstorm Chardonnay.
118980	129220	Then we have a 12 case of Gearbox Pinot Noir Red Wine.
129220	145820	Then we have a 12 pack case, if you will, of Windstorm Cabernet Sauvignon.
145820	167020	Then we have three bottles of Windstorm Chardonnay.
167020	171780	Fourteen bottles of 30A Chardonnay.
172140	176980	Five bottles of the Shaker Red Blend.
176980	183400	Six bottles of Squealing Pig Sauvignon.
183400	189940	One bottle of Charles de Fer Prosecco.
189940	214860	Three bottles of Gearbox Pinot Noir.
214860	239820	Nine, excuse me, I was going to say 19 bottles, but scratch that, 11 more bottles of Charles
239820	252420	de Fer, plus the one other one we counted earlier.
252420	267420	Eight bottles of Marque de Caceres, spelled M as in Mary, A-R-Q-U-E-S, space, D as in
267420	291820	dog, E, space, C as in cat, A, C as in cat, E-R-E-S as in snake.
291820	296220	Fifteen bottles of Canoe Ridge Merlot.
321820	336220	Thirty more bottles of Marque de Caceres Brute.
336220	344540	Again, it's that weird kind of spelling one, but it's like, you know, it's equal with
344540	353300	the Charles de Fer, the Marque de Caceres, or whatever, is equal with the Charles de
353300	354300	Fer.
354300	358300	It's just like our Mimosa Prosecco.
358300	372060	All right.
372060	383820	So each of these cases is six bottles of 25.4 fluid ounce bottles, or it's a case of six
383820	390700	25.4 fluid ounce bottles of these stirrings mixes.
390700	398340	The ones we've talked about before, the Watermelon, the Margarita, the Mojito.
398340	399620	So this is how we get them.
399620	415180	We get them in cases of six bottles of 25.4 fluid ounce bottles.
415180	432860	So we have...
432860	436260	We have three cases of Watermelon.
437140	458780	Okay, so it says freaking 25.4 fluid ounces, but they're really just 750 milliliters.
458780	480220	And then we have four cases of Margue mix.
480220	509380	We have five 24-packs of Yingling, seven 24-packs of Michelob Ultra, ten 12-packs of Coors,
509380	538980	five 12-packs of Miller Lite, six 12-packs of Athletic, and a beer, two 24-packs of sugar-free
539140	559820	Red Bull, one 24-pack of regular Red Bull, one 24-pack of Watermelon High Noon, one case
559900	567740	of 12 bottles of the Marque de Sacere Cava Brute.
569100	583660	The same one I was talking about earlier, the Weird to Spell one.
590540	595980	And then we have seven bottles of this Carter's Lot Rosé.
603980	607100	Five Farmers Gin bottles.
612940	617660	Got a full case, 12 bottles of Pueblo Viejo.
620780	625020	A full case, 12 one-liter bottles of Wheatley.
625020	648780	Three
648780	670540	cases of six one-liter bottles of Crop Organic Cucumber Flavored Vodka.
678780	691340	Thirty-two cans of High Rise Pineapple THC Seltzer.
691340	711660	Sixteen bottles of Grenadine, one bottle of Jalapeno Simple Syrup, four bottles of Angostura
711660	717340	Aromatic Bitters, one 24-pack of Barrett's Ginger Beer.
722220	725660	Plus 18 more cans of Ginger Beers.
737500	743900	Plus 18 750-milliliter bottles of Watermelon Cocktail Mix.
751340	760220	Plus 20 bottles of Mojito Mix.
770140	772780	Plus 17 bottles of Margarita Mix.
772780	784140	Plus 16 bottles of Bloody Mary Mix.
790700	794460	Plus 13 bottles of Cream of Coconut.
796780	799740	Plus one bottle of Blue Agave Syrup.
799740	803100	Plus two bottles of Parrot Bay White Rum.
803740	807100	Plus two bottles of Crown Royal.
807100	815340	Plus 18 bottles of Pueblo Viejo.
815340	835020	Plus 18 bottles of Pueblo Viejo.
835020	845180	Plus 10 bottles of Yave Blanco coconut tequila.
845180	854940	Plus 6 bottles of Casamigos.
854940	860500	Plus 14 bottles of Sieta Mysterios mezcal.
860500	870100	Plus 1 bottle of Milagro Reposado.
870100	878420	Plus 13 bottles of Milagro Silver.
