start	end	text
0	26440	70% of a bottle of Milagro Reposado, 40% of a bottle of Parrot Bay Coconut Rum, 30% of
26440	39880	a bottle of Hendrick's Gin, 10% of a bottle of Mr. Boston Blue Curacao, 1 bottle of Mr.
39880	59880	Boston Triple Sec, 40% of a bottle of Boll's Elderflower Liqueur, 1 liter bottle, 90% of
59880	74000	a bottle of Caravella Limoncello, half of a bottle of Grenadine, 25% of a bottle of
74000	87920	Meyer's Dark Rum, 2 bottles of Caravella Limoncello, 1 bottle of Pueblo Viejo, 1 bottle of Yave
87920	104400	Coconut Tequila, 60% of a bottle of Jim Beam, 50% of a bottle of Tito's, 90% of a bottle
104400	115360	of Wheatley's, half of a bottle of Parrot Bay White Rum, 1 bottle of Siete Mysterios
115360	136640	Mezcal, 10% of a bottle of Pueblo Viejo, 10% of a bottle of Eagle Rare, 40% of a bottle
136640	155640	of Blanton's, 40% of a bottle of Crown Royal, 60% of a bottle of Tankeray, 10% of a bottle
155640	171400	of Jack Daniel's, 90% of a bottle of Eagle Rare, 60% of a bottle of Milagros Silver,
171400	195160	50% of a bottle of Casamigos Blanco, 1 bottle of Grand Gala Orange Liqueur,
195160	221160	6 Pacificos, 13 Athletic Non-Alcoholic Brews, 7 Coors Lights, 17 Miller Lights,
225960	235560	12 Michelob Ultras, 16 Yinglings,
240280	247080	1 bottle of Pueblo Viejo, 1 bottle of Wheatley's Vodka,
247080	266840	1 bottle of Cream of Coconut, 4 bottles of Cream of Coconut,
266840	275800	2 bottles of Blue Agave Syrup, 1 bottle of Strawberry Puree,
279000	285800	1 Ginger Beer, 5 bottles of Charles de Fer Brut,
285800	311320	2 bottles of 30A Rose, 3.5 bottles of Carter's Lot Rose, 1 more bottle of Charles de Fer,
316440	333160	4.5 bottles of Watermelon Mixer, 4.5 bottles of Mojito, 1.5 bottles of Margarita,
333160	346680	7 bottles of Squealing Pig, 1 bottle of 30A Chardonnay,
346680	361240	4.5 bottles of Scarpetta Pinot Grigio, 4 bottles of Windstorm Chardonnay,
361240	384040	2 bottles of Jim Beam, 24 cans of Coors Light, 12 cans of Miller Light, 24 cans of Pacifico,
384520	397080	24 cans of Michelob Ultra, 24 cans of Yingling, 2 bottles of Meyer's Dark Rum,
399240	409720	2 bottles of Grey Goose 1 Liter, 2 bottles of Pueblo Viejo, 10% of a bottle of Peach Schnapps,
409960	422360	50% of a bottle of Aperol, 1 bottle of Mr. Boston Blue Curaçao, 75% of a bottle of
422680	436920	Michter's Straight Rye, 10% of a bottle of Rumple Mints, 2 bottles of Wheatleys,
439400	450760	2 bottles of Fireball, 1 bottle of Yave Coconut Tequila, 1 bottle of Crop Organic Cucumber Vodka,
452360	471720	1 bottle of Parrot Bay Coconut Rum, 1 bottle of Campesino Silver Rum, 1 bottle of Nocello,
472600	479080	1 bottle of Woodford, 1 bottle of Chambord,
484520	492280	60% of a bottle of Tia Maria Cold Brew Coffee Liqueur, 1 bottle of Parrot Bay White Rum,
492280	505480	1 bottle of Crop Organic Cucumber Vodka, 1 bottle of Woodford, 1 bottle of Crown Royal,
508040	510520	half of a bottle of Campesino Aged Rum,
510840	521880	1 bottle of Bowls Elderflower Liqueur, 1 liter bottle, 1 bottle of Woodford,
524920	526360	1 bottle of Blanton's,
526760	528760	1 liter bottle of Michter's,
538040	542520	12 Coors Lights, 6 Yinglings,
542520	549800	5 30A IPA Cans,
555800	559240	13 30A Rosé Gose Cans,
562840	565400	1 4-pack of High Rise Pineapple,
565400	579480	2 cans of High Rise Blueberry, 2 cans of High Rise Pineapple,
581320	583480	1 can of Red Bull Sugar Free,
583480	590280	4 4-packs of Mom Waters,
593720	596200	1 more 4-pack of Mom Waters,
597000	603000	16 Watermelon High Noons,
613000	616280	9 Pineapple High Rises,
616760	619560	2 Blueberry High Rises,
629080	631080	8 Red Bulls,
633080	635080	7 Mom Waters,
635160	637160	11 High Noon Watermelon,
640120	642120	3 High Noon Pineapple,
646120	648120	6 Red Bulls,
652120	654120	6 Red Bulls,
658120	660120	7 Red Bulls,
665080	667080	8 Red Bulls,
669080	671080	2 bottles of Gearbox,
673080	675080	1 bottle of Shaker Red Blend,
677080	679080	1 bottle of Canoe Ridge Merlot,
681080	683080	75% of a bottle of Windstorm Cabernet Sauvignon,
687080	689080	75% of a bottle of Canoe Ridge Merlot,
