start	end	text
0	17620	25% of a bottle of Tahin, 10% of a bottle of Papa's Pilar, 95% of a bottle of Michter's
17620	36460	straight rye whiskey, 90% of a bottle of Redwood Empire, half of a bottle of Aradura
36460	52900	Silver tequila, 1 liter, half of a bottle of Colonel E.H. Taylor, 80% of a bottle of
52900	67020	Windstorm Cabernet Sauvignon, 1 bottle of Canoe Ridge Merlot, 1 bottle of Gearbox Pinot
67020	83460	Noir, 75% of a bottle of Gearbox Pinot Noir, 75% of a bottle of Aperol, 60% of a bottle
83460	97260	of Fireball, 1 bottle of Jack Daniels, 10% of a bottle of Maker's Mark, 80% of a bottle
97260	120260	of Tankeray, 40% of a bottle of Woodford, 15% of a bottle of Crown Royal, 1 bottle
120260	137580	of Hendrick's Gin, 70% of a bottle of Farmer's Gin, 35% of a bottle of Casamigos Blanco,
137580	152940	80% of a bottle of Yahweh Jalapeno tequila, 30% of a bottle of Milagro Silver, half of
152940	172460	a bottle of Crop Organic Cucumber Vodka, 5% of a bottle of Caravella Limoncillo, 30%
172460	189100	of a bottle of Boll's Elderflower Liqueur, half of a bottle of Mr. Boston's Blue Curacao,
189100	200300	1 bottle of Wheatley's Vodka, 10% of a bottle of Tullamore Dew, 60% of a bottle of Peach
200300	219900	Knops, 40% of a bottle of Grey Goose, 1 liter bottle, half of a bottle of Meyer's Original
219900	237860	Dark Rum, 25% of a bottle of Siete Mysterios Mezcal, 10% of a bottle of Yahweh Coconut
237860	252220	Tequila, half of a bottle of Pueblo Viejo Tequila, 70% of a bottle of Parrot Bay Coconut
252220	270220	Rum, 85% of a bottle of Parrot Bay White Rum, 50% of a bottle of Jim Beam, 75% of a bottle
270220	290220	of Tito's, 10% of a bottle of Wheatley's.
290220	320200	33 Michelob Ultras, 14 athletic non-alcoholic beers, 8 Yinglings, 1 High-Rise Blue Bear
320200	349200	Cherry, 26 Coors Lights, 18 Miller Lights, 21 Pacificos,
349200	377200	4 High Noon Watermelons, 4 High Noon Pineapples, 5 more High Noon Watermelons,
378200	403200	2 bottles of Marca de Caceres Cava Brute, 2 bottles of 30A Rose,
403200	414200	2 bottles of Scarpetta Pinot Grigio, 1 bottle of Windstorm Chardonnay, 1 bottle of Squealing
414200	439200	Pig Sauvignon Blanc, 1 more bottle of Windstorm Chardonnay, 2 more bottles of Scarpetta,
439200	449200	1 more bottle of Squealing Pig, 1 more bottle of Windstorm Chardonnay,
449200	464200	half of a bottle of Jägermeister, full bottle of Mojito Mix, 1 bottle of Squealing Pig,
464200	479200	1 bottle of Scarpetta, 1 bottle of Windstorm Chardonnay, 1 more bottle of
479200	507200	30A Chardonnay, 1 bottle of Charles de Fair Brute,
507200	527200	1 bottle of Margarita Mix, 75% of a bottle of, scratch that, 2 bottles of watermelon
527200	528200	melon mix.
