start	end	text
0	27680	one bottle el himador, 100% agave azul, cristalino, one bottle erradura, repasado, tequila, one
27680	52800	liter, one bottle erradura anejo, tequila, 750 milliliters, six bottles gearbox
52800	70880	pinot noir, two bottles windstorm cabernet, six bottles squealing pig, 13
70920	93400	bottles scarpetta pinot grigio, 11 bottles marque de caseres cava brut, three bottles
93400	115280	windstorm chardonnay, 12 bottles 30a chardonnay, eight bottles 30a rose, two
115280	143560	bottles carters lot rosé, 14 bottles canoe ridge merlot, 14 bottles
143560	167800	charles de fer brut, four bottles marque de caseres cava brut, 12 bottles charles
167800	193440	de fer brut, four bottles mojito, eight bottles margarita, ten bottles watermelon mix, three
193480	215160	six-packs of margarita mix, two six-packs of watermelon mix, seven four-packs high-rise
215160	236640	blueberry, eight four-packs high-rise pineapple, three 24-packs yingling, three 24-packs
236640	239320	Michelob,
239320	266960	five 12-packs athletic, one 12-pack Coors,
266960	284400	two 12-packs Pacifico, two 12-packs Miller Lite, two 24-packs of pineapple high noon,
284400	299160	four four-packs of pineapple high noon, one 24-pack Red Bull sugar-free, one four-pack
299160	312760	Red Bull sugar-free, one 24-pack Red Bull regular, another 24-pack of Red Bull regular,
312760	337200	three bottles blue agave natural sweetener, two bottles cream of coconut, eight bottles
337200	352920	strawberry puree, eight more bottles blue agave natural sweetener, five bottles Bloody Mary mix,
352920	381240	twelve bottles grenadine, nine bottles tahine, twenty-eight cans of ginger beer, five bottles
381240	404280	of angostura bitters, nine bottles Pueblo Viejo tequila, ten bottles Yave coconut tequila,
404280	418600	four bottles Casamigos Blanco, six bottles Siete Mestadios mezcal, six bottles Milagros
418600	433840	silver tequila, fourteen bottles Parrot Bay white rum, five bottles Parrot Bay coconut
433840	453560	rum, nine bottles Mr. Boston triple sec, four bottles Mr. Boston blue curacao, two bottles
454560	477160	one bottle Campesino silver rum, six bottles Caravella limoncello, four more bottles of Campesino
477160	499240	silver rum, two bottles Grand Marnier, eleven bottles of Bowls elderflower liqueur, one liter,
499240	516960	three bottles of Bowls elderflower liqueur 750 milliliters, nine bottles of rumple mints,
516960	544440	seven bottles Romana Amaro, two bottles crop organic cucumber vodka,
544440	561320	one more bottle of Mr. Boston triple sec, twelve one-liter bottles of crop organic cucumber vodka,
561320	582800	a quarter of a bottle of Yave coconut tequila, 75% of a bottle of Siete Mestadios mezcal,
582800	598560	one-third of a bottle of Pueblo Viejo, one-tenth of a bottle of Tito's, 60% of a bottle of Wheatley's,
598560	613760	10% of a bottle of Parrot Bay white rum, 25% of a bottle of crop organic cucumber vodka,
613760	631680	90% of a bottle of Jim Beam, 90% of a bottle of Parrot Bay coconut rum, five bottles of Crown Royal,
631680	645200	eight bottles of Meyer's original dark rum, two bottles of Maker's Mark, one bottle of Jim Beam,
645200	665120	one point eight bottles of Tullamore Dew, eight bottles of Fireball, 16 bottles of Jack Daniel's,
665120	687040	21 bottles of Mr. Boston peach schnapps, three bottles of Aperol, 2.6 bottles of Campari,
687040	707280	0.8 bottles of Romana Amaro, 90% of a bottle of Campesino silver rum, one bottle of Campesino
707280	728160	aged rum, 80% of a bottle of Campari, one bottle of Tia Maria cold brew coffee liqueur,
728160	746960	one more bottle of Tia Maria cold brew coffee liqueur, eight bottles of Wheatley's vodka,
746960	761920	one bottle of crop organic cucumber vodka, two bottles of Grey Goose, one liter, four bottles of Tito's,
761920	783040	five bottles of crop organic Meyer lemon flavored vodka, five bottles of Farmer's gin, nine bottles of Hendrick's gin,
783040	799280	seven bottles of Grand Gala orange liqueur, four bottles of Woodford Reserve, five bottles of Tankeray London dry gin,
799280	818400	ten bottles of Jägermeister,
818400	828880	one bottle Eridura Blanco original tequila, it comes in its own box,
828880	855760	the original tequila Eridura, 700 milliliters, Blanco, and then Eridura tequila Añejo, Barrio Acanalado, it's in a nice black box.
