start	end	text
0	7000	This is the inventory recording for November 30th, 2025.
7000	12000	24 bottles Squealing Pig Sauvignon Blanc.
12000	16000	2 bottles Scarpetta.
16000	20000	12 bottles Margarita Mix.
20000	25000	12 bottles Watermelon Mixer.
25000	32000	Both the Margarita and the Watermelon are the Stirrings Mixers.
32000	38000	24 bottles of Marcus de Caceres.
38000	54000	And that's spelled M as in Mark, A, R, Q, U, E, S, D, C as in Cat, A, C as in Cat, E, R, E, S.
55000	59000	6 more bottles of the Watermelon Mixer.
59000	67000	Half of a bottle of the Aradura Ultra Agnejo.
67000	74000	Second location is the Walk-In Cooler.
74000	83000	One keg of the 30A Beach Blonde.
84000	88000	3 kegs Paradise Park.
88000	93000	2 kegs Perfect Plane Yachtside.
93000	98000	3 kegs Kona Big Wave.
98000	103000	1 keg Perfect Plane.
103000	109000	1 keg Kona Big Wave.
109000	114000	2 kegs Stella Artois.
128000	137000	4 cases of Cactus Pear and Pomegranate Cocktail Mixer.
138000	148000	2 cases of Fresh Victor's Cucumber Lime Juice.
148000	154000	Next location is the Inside Bar.
154000	159000	80% of a bottle of Colonel E.H. Taylor.
159000	165000	25% of Papas Pilar.
165000	169000	1 can High Noon.
169000	173000	1 can Michelob Ultra.
173000	177000	1 can Miller Lite.
177000	181000	1 can Coors Lite.
181000	185000	1 can Pacifico.
185000	189000	1 can Yingling.
189000	196000	1 can Athletic Upside Down.
196000	206000	50% of a bottle of Eagle Rare.
206000	213000	75% of a bottle of Redwood Empire.
213000	217000	Full bottle of Mikters.
217000	223000	75% of a bottle of Shaker Red Blend.
223000	227000	Full bottle of Canoe Ridge.
227000	233000	80% of a bottle of Windstorm Chardonnay.
233000	238000	75% of a bottle of Campari.
238000	244000	A full bottle of Campesino Aged Rum.
244000	251000	80% of a bottle of Campesino Silver Rum.
251000	258000	95% of a bottle of Jack Daniels.
258000	264000	80% of a bottle of Myers Aged Rum.
264000	268000	Full bottle of Shambord.
268000	276000	75% of a bottle of Maker's Mark.
276000	281000	80% of a bottle of Jim Beam.
281000	286000	80% of a bottle of Tullamore Dew.
286000	292000	33% of a bottle of Parrot Bay Coconut Rum.
292000	299000	50% of a bottle of Casamigo Silver.
299000	303000	Full bottle of Grenadine.
303000	309000	50% of a bottle of Fireball.
309000	315000	90% of a bottle of Farmer's Gin.
315000	320000	Full bottle of Crop Cucumber Vodka.
320000	326000	25% of a bottle of Grand Marnier.
326000	332000	Full bottle of Caravella Limoncillo.
332000	337000	25% of a bottle of Casamigos.
337000	342000	25% of a bottle of Tanqueray.
342000	348000	50% of a bottle of Milagro Repasado.
348000	355000	50% of a bottle of Parrot Bay Coconut Rum.
355000	362000	50% of a bottle of Parrot Bay White Rum.
362000	368000	75% of a bottle of Yave.
368000	374000	90% of a bottle of Siete Mestedios Mezcal.
374000	380000	25% of a bottle of Puebla Viejo Tequila.
380000	385000	20% of a bottle of Triple Sec.
385000	393000	75% of a bottle of Wheatley's Vodka.
393000	399000	12 bottles of Wheatley's Vodka.
399000	405000	16 cans of Miller Lite.
405000	411000	22 cans of Yingling.
411000	417000	5 cans of Athletic Non-Alcoholic Beer.
417000	423000	12 cans of Coors Light.
423000	429000	7 cans of Pacifico.
429000	435000	24 cans of High Noon.
435000	441000	6 cans of Ginger Beer.
441000	447000	4 bottles of Scarpetta.
447000	453000	2 bottles of Squealing Pig.
453000	459000	1 bottle of Bloody Mary Mix.
459000	465000	1 bottle of Marques de Caceres Prosecco.
465000	471000	1 bottle of 30A Chardonnay.
471000	477000	1 bottle of Windstorm Chardonnay.
477000	483000	50% of a bottle of Pueblo Viejo Tequila.
483000	489000	90% of a bottle of Yave Coconut Tequila.
489000	495000	20% of a bottle of Yave Coconut Tequila.
495000	501000	25% of a bottle of Eagle Rare.
501000	507000	25% of a bottle of E.H. Taylor.
507000	513000	50% of a bottle of Parrot Bay White Rum.
513000	519000	Half of a bottle of Meyer's Aged Rum.
523000	529000	25% of a bottle of Siete Misterios Mezcal.
529000	535000	Full bottle of Triple Sec.
535000	541000	50% or half.
541000	547000	50% of a bottle of...
553000	559000	Sorry, let me start over with the count for this product.
563000	569000	50% of a bottle of Crop Cucumber Vodka.
569000	577000	I made a mistake where I said half of a bottle and I kind of stumbled over my words.
577000	583000	That just needs to be 50% of a bottle of Crop Cucumber Vodka.
583000	589000	Now on to the next item.
589000	595000	50% of a bottle of Wheatly's.
